OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),GHGEmissions(MetricTonsCO2e)
1,NonResidential,Hotel,98101.0,1927,1.0,12,9.01381287972552,,Hotel,,,62.5,8.946102455845265,5.520280221114084
2,NonResidential,Hotel,98101.0,1996,1.0,11,9.171765459275452,7.243864159997697,Hotel,Parking,7.243864159997697,56.0,9.12641391360211,5.63366396988174
5,NonResidential,Hotel,98101.0,1926,1.0,10,8.647662422646459,,Hotel,,,28.5,9.832378870071333,7.01336226426383
8,NonResidential,Hotel,98121.0,1980,1.0,18,9.699651148140909,8.658690753687937,Hotel,Parking,8.751196418002252,71.0,9.660521996770978,6.2272380043222135
9,Nonresidential COS,Other,98101.0,1999,1.0,2,9.109232020321544,8.14781136503578,Police Station,,,,9.51185104832337,5.7144421248400175
10,NonResidential,Hotel,98101.0,1926,1.0,11,8.950493357336825,,Hotel,,,26.0,8.797150044284711,5.259056652594734
11,NonResidential,Other,98101.0,1926,1.0,8,9.16396227225018,,Other - Entertainment/Public Assembly,,,,8.938759482996792,5.350672596881965
12,NonResidential,Hotel,98104.0,1904,1.0,15,9.631325230732052,,Hotel,,,44.5,9.59263290208861,5.89132648179692
15,NonResidential,Hotel,98101.0,1969,1.0,11,9.563059082419734,7.4905727892601774,Hotel,,,39.0,9.742122428223778,6.451962199885515
16,NonResidential,Hotel,98101.0,1998,1.0,25,10.340227247529809,8.645066100125957,Hotel,,,34.0,10.276282935065428,6.596033214270336
17,NonResidential,Hotel,98104.0,1928,1.0,9,8.70608209049203,,Hotel,,,43.5,8.805936663642685,5.803778627814877
18,NonResidential,Hotel,98101.0,1980,1.0,33,10.2871466719578,8.585078936344692,Hotel,Parking,8.585078936344692,57.0,10.082321227240888,6.49523534400027
19,NonResidential,Hotel,98101.0,1922,1.0,11,9.055408033453348,7.758400363160223,Hotel,Parking,7.758400363160223,24.5,9.382095774761384,6.212245309233003
21,Nonresidential COS,Other,98154.0,2004,1.0,11,10.552579717992371,8.574607636477396,Library,Parking,8.423376666753471,,9.832132154856698,5.159687283378507
22,NonResidential,Other,98104.0,1930,1.0,6,9.175091132173922,,Fitness Center/Health Club/Gym,Office,8.220435822756782,,9.314443843747293,6.046130273448887
23,NonResidential,Hotel,98104.0,1983,1.0,28,10.562916881638888,8.974207625133161,Hotel,Parking,8.974207625133161,30.5,10.491733818974168,6.658017464335387
24,NonResidential,Mixed Use Property,98104.0,1907,1.0,5,8.582506185212422,,Social/Meeting Hall,Restaurant,7.272718921195258,,9.036387511671725,5.595677455551089
25,NonResidential,Hotel,98104.0,1916,1.0,10,9.179326168249753,,Hotel,,,61.0,9.156976323589342,5.9408815267319035
26,NonResidential,Other,98104.0,1916,1.0,10,10.823791952744326,,Courthouse,,,71.5,10.897112409114674,7.265908629539051
27,NonResidential,Other,98104.0,1985,1.0,19,10.485511138112285,,Other,,,,10.892931028228423,7.4659042774219
28,SPS-District K-12,K-12 School,98118.0,1961,1.0,2,8.560971222112364,,K-12 School,,,95.5,7.500668761900958,3.6068556186353455
29,NonResidential,Hotel,98105.0,2001,1.0,6,9.015597928723457,7.952098756568777,Hotel,Parking,7.952098756568777,84.5,8.28599521979978,4.5648168316388755
30,NonResidential,University,98121.0,1928,1.0,7,9.372533584565165,,College/University,,,,9.427086897856883,5.853121597486237
31,NonResidential,Other,98101.0,1930,1.0,2,8.739586695268763,,Automobile Dealership,,,,7.261069887369497,2.2412414627529937
32,NonResidential,Hotel,98101.0,1991,1.0,8,9.598420756005531,7.942737083913902,Hotel,Parking,8.269225986926214,,8.652066714223729,5.53338948872752
33,NonResidential,Hotel,98101.0,2001,1.0,10,9.678271472056295,8.176510058188377,Hotel,,,38.5,9.375025927057859,5.78129891708403
34,SPS-District K-12,K-12 School,98112.0,1955,1.0,1,9.37062011696888,,K-12 School,,,,8.36399713707371,4.8061090273141085
35,NonResidential,Hotel,98121.0,1978,1.0,5,8.757075381415753,7.316567610881184,Hotel,,,58.5,8.4542210568065,4.8442264557623504
36,SPS-District K-12,K-12 School,98125.0,1949,1.0,2,9.61075333015983,,K-12 School,,,77.5,9.050920980024527,5.580767023759654
37,SPS-District K-12,K-12 School,98109.0,1989,1.0,2,8.474729143063207,,K-12 School,,,,6.7884989996562854,2.336986519711378
38,NonResidential,Small- and Mid-Sized Office,98070.0,1906,1.0,3,9.000471456084817,,Office,K-12 School,7.43039220495114,,8.484570520616103,5.034221603902397
40,NonResidential,Hotel,98105.0,1994,1.0,4,8.936701206442986,,Hotel,,,24.5,8.936041709014248,5.434529537672788
41,NonResidential,Self-Storage Facility,98105.0,1955,1.0,2,9.235267872318754,,Self-Storage Facility,,,,5.831465252874273,1.340250422618484
46,NonResidential,Warehouse,98118.0,1961,3.0,2,11.102572375352924,,Non-Refrigerated Warehouse,Refrigerated Warehouse,10.151957234359996,,10.772710279028926,5.776692110043519
50,SPS-District K-12,K-12 School,98199.0,1990,1.0,2,8.538634976018578,,K-12 School,,,94.0,7.561609665258169,3.405355391810819
51,SPS-District K-12,K-12 School,98115.0,1950,1.0,2,9.699565713348962,,K-12 School,,,88.0,9.018530028589817,5.5697176064255345
52,NonResidential,Small- and Mid-Sized Office,98107.0,1961,1.0,2,9.084380074258728,,Office,Non-Refrigerated Warehouse,8.203137058178452,57.0,8.844010916516979,4.842768758271886
53,NonResidential,Small- and Mid-Sized Office,98144.0,1900,1.0,2,8.493397581051852,,Office,Other - Education,6.591942503787522,88.0,7.943945208026208,4.2544063086500135
54,NonResidential,K-12 School,98103.0,1954,1.0,3,9.696428053178813,,K-12 School,,,95.0,9.070521601664623,5.520600547850091
55,NonResidential,Self-Storage Facility,98121.0,1911,1.0,3,8.788388193194654,,Self-Storage Facility,Vocational School,7.8707719579491195,,7.817717035848355,3.753027273937688
56,NonResidential,Hotel,98101.0,1969,1.0,24,10.337323667716957,9.859286895759231,Hotel,,,67.5,9.728420864604011,5.633324244340946
57,NonResidential,Large Office,98101.0,1973,1.0,5,9.656204637676067,,Office,Retail Store,8.716289930592627,78.5,9.199399594854064,4.1798339482375155
58,NonResidential,Other,98101.0,1920,1.0,2,8.582088357908292,,Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",6.268683642217836,,6.482857130578878,2.811208293204836
59,NonResidential,Small- and Mid-Sized Office,98101.0,1910,1.0,8,8.615850595011445,,Office,Retail Store,6.139593300161318,,8.53118679015193,3.4445761049641
60,NonResidential,Mixed Use Property,98101.0,1926,1.0,2,8.493302436289024,,Other - Entertainment/Public Assembly,Restaurant,7.688556789792959,,9.742715101443766,6.369661228061952
62,NonResidential,Hotel,98101.0,1930,1.0,20,9.122972398398273,6.838432243054047,Hotel,Parking,6.838432243054047,58.5,8.720333996003966,4.226760749903353
65,NonResidential,Hotel,98101.0,1985,1.0,7,8.796346693178707,,Hotel,Parking,7.151139588422725,98.5,8.608923546419645,4.8721775009486885
66,NonResidential,Hotel,98101.0,1908,1.0,7,9.342194814265138,,Hotel,Other - Entertainment/Public Assembly,7.806812526947154,99.0,8.780121134970663,5.387014821309323
67,NonResidential,Hotel,98109.0,1959,1.0,5,9.260473990061426,8.28214221219276,Hotel,Parking,8.28214221219276,86.0,8.628006493743877,4.888542986851774
68,NonResidential,Hotel,98109.0,2000,1.0,7,9.54520711169956,8.07930419278769,Hotel,Restaurant,5.630168657310955,83.5,8.889758500520719,5.2769149602876
69,NonResidential,Hotel,98109.0,1997,1.0,6,9.287729428167465,7.870878346586913,Hotel,Parking,7.874418173292037,82.0,8.762369654518054,5.113191882421348
70,NonResidential,Hotel,98119.0,1998,1.0,6,9.578857833774968,8.135531315666338,Hotel,,,81.0,8.885975914587256,5.041326141417053
73,NonResidential,K-12 School,98136.0,1911,1.0,3,8.558192947840869,,K-12 School,,,76.5,8.329587234721846,4.962704760338706
77,NonResidential,Hotel,98109.0,1999,1.0,4,9.343269068087643,8.335793697864885,Hotel,Parking,8.335793697864885,94.0,8.637860051225008,5.139116455744796
82,NonResidential,Small- and Mid-Sized Office,98122.0,1962,1.0,2,8.53859860246215,,Office,,,68.0,8.29003382259541,4.4629727802782915
84,NonResidential,Senior Care Community,98126.0,1922,1.0,5,9.914228670294301,,Senior Care Community,Parking,,52.0,10.83439747685647,7.491631530395824
85,NonResidential,Senior Care Community,98133.0,1970,1.0,2,9.06841559344744,,Senior Care Community,,,1.0,9.790037668836577,6.406137135967059
86,NonResidential,Hotel,98109.0,2008,1.0,6,8.963598606804787,7.563234768970306,Hotel,Parking,7.563234768970306,71.0,8.326539824239443,4.256321678298823
87,SPS-District K-12,K-12 School,98146.0,1948,1.0,2,8.508467833972851,,K-12 School,,,,,
89,NonResidential,Medical Office,98122.0,1965,0.0,3,9.719020383715682,,Medical Office,,,48.0,9.862394190848613,6.209213574104885
95,NonResidential,Hotel,98104.0,1908,1.0,7,8.870558063259443,,Hotel,,,47.5,8.93842775503131,5.557580674168606
96,NonResidential,Mixed Use Property,98104.0,1983,1.0,6,9.134524131075736,6.765969681533557,Medical Office,Parking,7.569773253802992,,9.705438249185029,6.138148131727295
98,NonResidential,Retail Store,98109.0,1929,1.0,2,8.597501456343249,,Retail Store,,,95.5,7.233817443290181,3.6731310971457973
100,NonResidential,Large Office,98109.0,2010,1.0,5,10.288266468107444,,Office,Parking,9.547019987595743,96.0,9.576501335109928,4.904830235199279
102,NonResidential,Hotel,98109.0,1990,1.0,7,10.176519050132432,8.333005291360278,Hotel,Parking,8.473856364955264,38.5,9.965011890420296,6.2500041993691795
103,Nonresidential COS,Other,98109.0,1962,1.0,1,10.495135712261291,,Other,,,,10.233044164560386,6.527899436380392
104,Nonresidential COS,Other,98109.0,1962,1.0,1,9.04475379942437,,Other,,,,8.890150622012545,5.454209386505011
106,Nonresidential COS,Other,98109.0,1938,1.0,5,10.513185203328716,,Other,,,,10.142275627502086,6.748179074243112
107,NonResidential,Large Office,98109.0,2010,1.0,12,10.879521594506265,,Office,Parking,10.270380966497884,90.0,10.67293622628104,6.441329242512831
110,Nonresidential COS,Other,98109.0,1962,1.0,2,8.482800087224273,,Other,,,,7.926606892633359,4.596230344418617
111,Nonresidential COS,Other,98109.0,1928,1.0,1,8.637434166678618,,Other,,,,6.856505220547399,1.8373699804801074
112,Nonresidential COS,Other,98109.0,1928,1.0,2,10.100084061730623,,Other,,,,9.997955503237801,6.0972199847738455
113,NonResidential,Small- and Mid-Sized Office,98109.0,1986,0.0,2,8.72484087871985,5.386822398679226,Office,Data Center,6.176554456475497,,8.410865444883072,3.3882809897289285
115,NonResidential,Small- and Mid-Sized Office,98033.0,1970,1.0,4,8.865088420458834,7.786956968193419,Office,Parking,7.597467476818083,70.0,8.2212596997658,3.856404581665134
116,NonResidential,Hotel,98109.0,2002,1.0,6,9.105339081389305,8.140688904666526,Hotel,Parking,8.140688904666526,54.0,8.621889279171723,4.979557338525394
117,NonResidential,Hotel,98105.0,1962,2.0,4,8.44391931628409,,Hotel,Swimming Pool,,52.0,8.688212688093984,5.266671888712491
118,SPS-District K-12,K-12 School,98106.0,1999,1.0,3,8.841925871552496,,K-12 School,,,,6.962091643404881,2.918851229218033
119,NonResidential,K-12 School,98112.0,1923,1.0,3,8.74727750203146,,K-12 School,,,38.5,7.958748314877427,4.268297869345539
120,NonResidential,K-12 School,98112.0,1908,1.0,6,9.799950466539524,,K-12 School,,,100.0,8.959106726151571,5.466392084034434
121,NonResidential,Small- and Mid-Sized Office,98144.0,2003,1.0,3,9.13104041915995,8.108162580273996,Office,Parking,8.108162580273996,67.0,8.532162208290277,3.4826237470243506
122,SPS-District K-12,K-12 School,98144.0,1991,1.0,2,8.607957574053685,,K-12 School,,,,7.173837057454627,2.7520670865189842
125,SPS-District K-12,K-12 School,98108.0,1957,1.0,1,9.40569970147674,,K-12 School,,,63.0,8.96349057186,5.416033733315433
127,SPS-District K-12,K-12 School,98118.0,1989,1.0,3,8.625150649474243,,K-12 School,,,93.5,7.509743147086181,2.8786365016777435
130,SPS-District K-12,K-12 School,98119.0,1964,1.0,2,9.066497204733816,,K-12 School,,,85.0,8.204738626878337,4.5115735372505075
131,NonResidential,Other,98115.0,1941,1.0,4,8.566168619154743,,Other,,,,8.812034303695944,3.7981821890043865
132,NonResidential,Other,98115.0,1929,1.0,2,9.863956270488039,,Other,Parking,,,8.466537644234174,4.915665056505029
136,NonResidential,Hotel,98133.0,2001,1.0,4,8.470999969646984,,Hotel,Parking,,87.5,8.280560579132327,4.890950451150276
137,SPS-District K-12,K-12 School,98133.0,1963,1.0,2,9.406852923561589,,K-12 School,,,88.0,8.426099740586269,4.838026416156094
138,SPS-District K-12,K-12 School,98133.0,1959,1.0,1,10.035207631918816,,K-12 School,,,93.5,9.486114052754337,6.017156660031437
139,NonResidential,Hotel,98133.0,2002,1.0,3,8.767660875902777,,Hotel,,,76.5,8.162811537746085,4.485372622532496
140,SPS-District K-12,K-12 School,98103.0,1991,1.0,3,8.73008074977461,,K-12 School,,,,7.081437301849144,2.668616131856803
144,NonResidential,Hotel,98104.0,1904,1.0,5,9.783725079164903,,Hotel,Parking,7.478675962276143,97.5,8.866568890077716,4.985727658390071
145,Nonresidential COS,Other,98111.0,1998,1.0,6,10.180882657502988,,Other - Entertainment/Public Assembly,,,,9.638757672676075,5.949795840061158
147,NonResidential,Hospital,98107.0,1954,4.0,5,10.185213287891496,,Hospital (General Medical & Surgical),Parking,9.53459622361727,21.0,11.009505640807912,7.566549081670385
148,SPS-District K-12,K-12 School,98107.0,1991,1.0,2,8.548173596200913,,K-12 School,,,92.0,7.5010742949011835,2.388303968396583
163,Nonresidential COS,Other,98104.0,2006,1.0,4,8.644984345341213,,Other,Office,7.906375551244935,,9.29279608067507,5.292525626756227
167,NonResidential,Other,98104.0,1910,1.0,4,8.819547011390133,7.157673186982369,Museum,,,,7.727105659742743,3.798294240099803
168,NonResidential,Hotel,98109.0,1996,1.0,4,9.620522136145055,7.18479833325006,Hotel,Parking,8.018686768296728,75.5,9.02628983522103,5.385480815307502
169,SPS-District K-12,K-12 School,98144.0,1990,1.0,4,10.200015591831804,,K-12 School,,,91.0,9.26253332321522,5.172669105943489
170,NonResidential,University,98122.0,1915,1.0,3,8.679915519171184,,College/University,,,,8.132309044604625,4.209754413732928
172,Campus,University,98106.0,1970,27.0,2,10.620762228863374,,College/University,,,,10.686575871467154,6.748771270752387
173,NonResidential,Small- and Mid-Sized Office,98115.0,2002,1.0,2,9.099024687446926,,Office,Data Center,6.129731088798235,,9.748262171018329,5.407508037786215
174,Nonresidential COS,Other,98134.0,1950,1.0,1,8.741548354390908,,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,,,9.027004277800575,5.336118803774787
175,SPS-District K-12,K-12 School,98122.0,2008,1.0,3,10.070947573830948,,K-12 School,,,61.0,9.698241757507526,5.893989525724146
176,SPS-District K-12,K-12 School,98118.0,2001,1.0,3,8.898520125639681,,K-12 School,,,92.0,7.96223674100113,4.009784723210642
177,SPS-District K-12,K-12 School,98122.0,2002,1.0,3,8.736159431784964,,K-12 School,,,81.0,7.884647762031902,3.7016722759126885
178,SPS-District K-12,K-12 School,98118.0,2000,1.0,3,9.120160085322363,,K-12 School,,,89.0,8.294833913869567,4.484075422610033
179,NonResidential,Small- and Mid-Sized Office,98118.0,1958,1.0,1,8.534607672418556,,Office,Other,7.750432193511046,,8.4880372291086,4.101154654150649
182,NonResidential,University,98119.0,1980,1.0,2,8.494481591998111,,College/University,,,,8.500396797540654,4.65195834748685
185,SPS-District K-12,K-12 School,98125.0,2011,1.0,2,9.998594891056824,,K-12 School,Parking,,96.0,9.213578226448359,5.360705138982852
187,NonResidential,Other,98122.0,1971,3.0,6,10.056933607698296,,Other,Courthouse,8.892831676147098,,9.60863582293944,6.017315025698092
189,SPS-District K-12,K-12 School,98117.0,2002,1.0,3,8.667138838881192,,K-12 School,,,96.5,7.755816295311752,3.9430370589573154
190,NonResidential,Small- and Mid-Sized Office,98108.0,2007,1.0,3,8.690673799540988,,Office,Non-Refrigerated Warehouse,7.239606569745056,20.0,8.21100494372018,3.940124435539021
194,NonResidential,Retail Store,98125.0,1951,1.0,1,10.804506957387437,,Retail Store,Restaurant,7.747868911107881,98.0,10.349669461733672,6.612732999671269
195,NonResidential,Other,98125.0,1964,1.0,3,8.524679983507541,,Other/Specialty Hospital,,,,9.038402161249389,5.4817632910037
197,NonResidential,Retail Store,98125.0,1965,1.0,4,9.354592202283097,,Retail Store,,,75.5,9.111947519606096,4.185403293169068
200,NonResidential,Other,98133.0,1996,1.0,3,8.54689379790988,,Financial Office,Parking,7.26494937741685,73.0,8.146568498734021,4.407877113263991
205,SPS-District K-12,K-12 School,98117.0,1999,1.0,2,10.023773834535424,,K-12 School,,,81.0,9.234713194303488,4.799090878625398
209,NonResidential,Self-Storage Facility,98122.0,1910,1.0,5,8.972677042624431,,Self-Storage Facility,,,,7.3962099033646025,3.822754537669964
211,Campus,University,98103.0,1970,11.0,2,11.074132070166058,9.246701407839508,College/University,,,,10.61102636118348,5.995369413185194
212,SPS-District K-12,K-12 School,98118.0,1952,1.0,2,9.685916755939912,,K-12 School,,,75.5,9.032209808877152,5.569679490132721
214,SPS-District K-12,K-12 School,98106.0,1963,1.0,1,9.510639074225995,,K-12 School,,,76.0,8.794204503592598,5.255174973651195
215,NonResidential,Warehouse,98108.0,1904,1.0,4,9.270356692379998,,Non-Refrigerated Warehouse,,,64.0,7.767022318700735,4.113983777474449
216,SPS-District K-12,K-12 School,98118.0,1960,1.0,2,9.74717124342564,,K-12 School,,,87.5,9.282081859650233,5.741543790073131
217,SPS-District K-12,K-12 School,98117.0,1959,1.0,1,9.60841626164833,,K-12 School,,,,8.264497435130071,5.396804313262691
220,NonResidential,Warehouse,98134.0,1937,1.0,1,9.987492679344465,,Non-Refrigerated Warehouse,,,84.5,9.120339051261292,5.7329852264642955
223,NonResidential,Retail Store,98126.0,1966,1.0,1,8.705697454391498,,Retail Store,,,74.0,8.026448148361183,3.534124425037787
224,NonResidential,Retail Store,98126.0,1965,1.0,1,8.74730702494124,,Retail Store,,,34.0,9.259191412034545,5.910484942350071
225,SPS-District K-12,K-12 School,98126.0,2010,1.0,2,10.439324039729028,,K-12 School,,,95.0,9.587309085008664,5.6061145174780425
226,SPS-District K-12,K-12 School,98126.0,1958,1.0,1,8.377375466947687,,K-12 School,,,86.0,7.844847588695978,4.217078285937272
227,SPS-District K-12,K-12 School,98144.0,1963,1.0,3,9.445592652749848,,K-12 School,,,,8.2040277416203,5.163070217140011
228,NonResidential,Other,98117.0,1973,1.0,3,8.556908059377994,,Other,,,,7.707688698735491,4.033798062354067
229,SPS-District K-12,K-12 School,98118.0,2004,1.0,2,8.74177102690736,,K-12 School,,,92.0,7.786666910463249,3.797285327957723
230,NonResidential,Self-Storage Facility,98126.0,1969,1.0,2,8.484490964577406,,Self-Storage Facility,,,,7.373897199512626,3.7901942970630125
231,SPS-District K-12,K-12 School,98103.0,2010,1.0,3,9.381835099523656,,K-12 School,,,78.0,8.506478255432663,4.2271256734559195
232,NonResidential,Hotel,98109.0,1998,1.0,5,9.351192564751459,7.932753750305001,Hotel,Parking,7.932753750305001,80.5,9.214693089269756,5.702164499773823
233,Nonresidential COS,Other,98109.0,1900,1.0,1,8.44357937407099,,Museum,,,,9.054196960632419,5.410104685989342
234,Nonresidential COS,Warehouse,98109.0,1926,1.0,2,8.44940238737378,,Non-Refrigerated Warehouse,Residence Hall/Dormitory,6.140994281076946,,6.40441327089223,1.385043579218238
235,NonResidential,Hotel,98109.0,1998,1.0,7,9.867439233077024,8.526835375121703,Hotel,,,76.5,9.413602541422321,5.787541345756266
237,SPS-District K-12,K-12 School,98117.0,1999,1.0,2,8.739750313918679,,K-12 School,,,87.0,7.886223535478782,3.8413859258287055
238,Nonresidential COS,Small- and Mid-Sized Office,98103.0,1957,1.0,2,9.04384342715088,,Office,Distribution Center,8.024451351993644,,9.265548162332594,5.143124477142335
239,SPS-District K-12,K-12 School,98136.0,1991,1.0,3,8.594031795190551,,K-12 School,,,97.0,7.354600274098798,2.9742532418768666
241,NonResidential,Hotel,98133.0,1968,1.0,4,8.70429612829232,,Hotel,,,71.5,8.776743093064258,5.334070536253854
242,SPS-District K-12,K-12 School,98115.0,1989,1.0,2,8.497916032723966,,K-12 School,,,,6.633537501072749,1.4539530095937054
243,SPS-District K-12,K-12 School,98108.0,1925,1.0,1,8.79087850209124,,K-12 School,,,91.0,8.224212704242278,5.036432986917396
244,NonResidential,Small- and Mid-Sized Office,98104.0,1900,1.0,3,8.328348079951176,,Office,Self-Storage Facility,6.569133706223982,80.5,7.468561406148348,3.3109079103146946
247,Nonresidential COS,Distribution Center,98134.0,1924,1.0,2,9.719841211569404,,Distribution Center,Office,8.15111253954703,,9.329098914866185,4.581799199664851
248,Nonresidential COS,Warehouse,98134.0,1965,1.0,2,8.602973426221242,,Non-Refrigerated Warehouse,Other - Services,7.349058703306135,,8.485528267160513,3.3338103629603
250,NonResidential,Hotel,98134.0,2005,1.0,9,9.658189401998118,7.210315065109656,Hotel,Parking,7.556847444438381,62.5,9.539904800063733,5.979391965873713
257,NonResidential,Warehouse,98134.0,1916,0.0,4,8.908570461493182,,Non-Refrigerated Warehouse,,,44.5,7.702906437409432,2.683415920143849
